customer_id,event_ts,days_since_last_order,sessions_last_month,avg_basket_size,category_diversity,discount_share,returns_rate,avg_session_minutes,device_type,platform,marketing_channel,region,segment_truth,orders_last_90d,avg_order_value,gmv_last_90d,customer_value
c_0,2024-06-30T09:02:10+00:00,35.0,19.0,5.85,8.04,0.3336,0.0075,11.5,mobile,android,email,EU,whales,3.0,26.952340258009972,112.14854125455088,140.095756027373
c_1,2024-07-10T19:39:57+00:00,97.0,9.0,2.3,4.43,0.0227,0.2794,1.78,desktop,web,organic,EU,loyal,2.0,36.03634333250483,143.88529123470067,39.66912948687511
c_2,2024-09-27T22:45:40+00:00,50.0,20.0,3.537,10.5,0.0061,0.0259,73.27,tablet,android,paid_search,Unknown,whales,2.0,11.580126462709423,179.409263292172,24.110569482187703
c_3,2024-07-02T17:35:37+00:00,135.0,4.0,2.143,8.13,0.2347,0.1419,12.51,tablet,ios,paid_search,,casual,2.0,18.979118437943637,222.19348532970108,84.82023201433599
c_4,2024-07-13T20:00:06+00:00,26.0,11.0,4.786,3.22,0.0615,0.2801,7.8,desktop,web,social,Unknown,loyal,4.0,24.667494554583815,174.4672494418277,52.74490618712369
c_5,2024-06-09T11:29:41+00:00,162.0,6.0,3.04,1.13,0.4377,0.0523,0.75,mobile,ios,paid_search,EU,casual,1.0,28.51416597666212,78.76398099835181,29.464743743190752
c_6,2024-08-11T18:03:22+00:00,27.0,22.0,3.94,10.03,0.4845,0.0334,16.44,desktop,web,email,APAC,whales,4.0,35.41796059196303,141.50373050829296,53.43215841872882
c_7,2024-06-04T17:03:47+00:00,174.0,6.0,2.519,7.54,0.1358,0.1446,12.97,desktop,android,email,,casual,1.0,27.8786589913013,219.5988663208412,127.95492886752417
c_8,2024-08-05T10:35:48+00:00,33.0,5.0,5.06,1.89,0.1367,0.0686,10.18,tablet,ios,email,,loyal,0.0,16.456138128581344,158.30462201694803,64.02377043077249
c_9,2024-09-27T19:24:10+00:00,90.0,7.0,5.146,7.25,0.193,0.1636,3.37,tablet,ios,organic,,loyal,0.0,14.86327163485497,62.20941696271873,32.34516447652578
c_10,2024-08-28T07:22:51+00:00,140.0,1.0,1.923,1.0,0.4794,0.1952,17.62,desktop,web,social,US,casual,2.0,19.82726274166497,157.4337723101262,16.71618589796514
c_11,2024-09-21T04:33:15+00:00,17.0,19.0,5.682,9.77,0.4459,0.1335,32.64,desktop,ios,social,APAC,whales,0.0,16.344990354251347,182.49753143595808,50.26822338036711
c_12,2024-07-30T04:29:11+00:00,84.0,2.0,2.248,9.32,0.1397,0.0503,17.21,tablet,android,email,Unknown,loyal,1.0,18.409393446754354,127.37108654364948,109.02854476129592
c_13,2024-07-06T22:24:41+00:00,140.0,3.0,3.888,7.99,0.3134,0.0954,0.69,desktop,android,organic,,casual,5.0,19.34003576092848,106.8212573527345,56.75145845402074
c_14,2024-07-09T21:13:37+00:00,66.0,2.0,2.846,4.87,0.2984,0.1514,7.15,mobile,ios,paid_search,EU,loyal,3.0,17.505527697897456,142.86529081252493,77.58416794804113
c_15,2024-07-13T23:43:02+00:00,9.0,13.0,5.739,9.6,0.022,0.0384,34.11,desktop,ios,organic,APAC,whales,3.0,19.238783315705344,89.65666312950289,116.69458952149739
c_16,2024-07-29T07:58:04+00:00,159.0,2.0,2.948,3.98,0.1921,0.2926,4.64,tablet,web,organic,Unknown,casual,1.0,20.582868092056216,146.0288728801041,105.90156486350446
